Time (ns),Native contact,Rg (nm),RMSD (nm)
36.5,3.49E-01,1.49739,0.6966777
36.6,3.64E-01,1.49451,0.7059906
36.7,3.65E-01,1.49556,0.7100149
36.8,3.58E-01,1.49561,0.7303874
36.9,3.61E-01,1.51563,0.763749
37,3.67E-01,1.51775,0.702915
37.1,3.56E-01,1.49852,0.6916066
37.2,3.57E-01,1.49858,0.7008523
37.3,3.62E-01,1.50232,0.7005848
37.4,3.59E-01,1.4955,0.7230294
37.5,3.43E-01,1.49907,0.7414817
37.6,3.67E-01,1.49279,0.6758283
37.7,3.34E-01,1.51745,0.7174467
37.8,3.83E-01,1.52443,0.6995551
37.9,3.57E-01,1.54162,0.698412
38,3.69E-01,1.57167,0.6980381
38.1,3.76E-01,1.54062,0.7034172
38.2,3.83E-01,1.56531,0.7078388
38.3,3.54E-01,1.55552,0.7150471
38.4,3.44E-01,1.56131,0.6780363
38.5,3.39E-01,1.54041,0.6787682
38.6,3.49E-01,1.55737,0.6932269
38.7,3.46E-01,1.55267,0.6882293
38.8,3.39E-01,1.50519,0.6671625
38.9,3.46E-01,1.52188,0.7067672
39,3.14E-01,1.5237,0.7365773
39.1,3.39E-01,1.53454,0.6996864
39.2,3.21E-01,1.54386,0.7041348
39.3,3.39E-01,1.55478,0.7248006
39.4,3.36E-01,1.55485,0.7078512
39.5,3.73E-01,1.55715,0.7278869
39.6,3.88E-01,1.56315,0.7090177
39.7,3.56E-01,1.54038,0.7416714
39.8,3.50E-01,1.54412,0.7607656
39.9,3.83E-01,1.5751,0.7274534
40,3.96E-01,1.55866,0.6985389
40.1,4.09E-01,1.53738,0.6683902
40.2,3.90E-01,1.53901,0.6873324
40.3,3.88E-01,1.56914,0.6887071
40.4,4.17E-01,1.53238,0.6499567
40.5,4.07E-01,1.53504,0.6681747
40.6,4.05E-01,1.54793,0.6650652
40.7,4.00E-01,1.54809,0.6812019
40.8,3.95E-01,1.54056,0.663453
40.9,4.08E-01,1.52404,0.6846974
41,4.04E-01,1.55283,0.7011225
41.1,4.11E-01,1.521,0.7065435
41.2,3.93E-01,1.5264,0.680674
41.3,4.06E-01,1.55305,0.6872141
41.4,4.04E-01,1.52643,0.6798486
41.5,3.77E-01,1.51579,0.6855127
41.6,4.03E-01,1.50915,0.667423
41.7,4.19E-01,1.53649,0.6592283
41.8,4.01E-01,1.51671,0.661429
41.9,4.23E-01,1.50563,0.6834071
42,4.16E-01,1.49704,0.6893907
42.1,4.02E-01,1.51219,0.6576657
42.2,4.10E-01,1.52193,0.6647104
42.3,4.27E-01,1.52357,0.6719027
42.4,4.17E-01,1.50564,0.6671779
42.5,4.21E-01,1.51759,0.6575556
42.6,4.40E-01,1.52015,0.6678115
42.7,4.06E-01,1.51878,0.6836294
42.8,4.02E-01,1.54774,0.7048228
42.9,3.97E-01,1.52987,0.7005147
43,3.96E-01,1.52471,0.713361
43.1,3.96E-01,1.53956,0.7266772
43.2,4.11E-01,1.5412,0.7144202
43.3,4.17E-01,1.51917,0.6916347
43.4,4.16E-01,1.52682,0.6985475
43.5,4.07E-01,1.54264,0.7236539
43.6,3.89E-01,1.5372,0.746796
43.7,4.10E-01,1.53065,0.7691344
43.8,3.93E-01,1.52509,0.7636445
43.9,3.93E-01,1.55508,0.7452168
44,3.90E-01,1.53891,0.7638337
44.1,4.04E-01,1.52356,0.7293013
44.2,3.98E-01,1.54399,0.7856748
44.3,4.08E-01,1.52164,0.7907256
44.4,4.16E-01,1.5201,0.7184425
44.5,4.11E-01,1.5244,0.7022967
44.6,4.55E-01,1.52182,0.6980557
44.7,4.36E-01,1.55868,0.7278513
44.8,4.35E-01,1.52578,0.6908467
44.9,4.23E-01,1.51529,0.6980082
45,4.11E-01,1.51136,0.7236372
45.1,4.17E-01,1.53168,0.7497106
45.2,4.04E-01,1.54707,0.7388257
45.3,4.34E-01,1.5076,0.7663928
45.4,4.28E-01,1.50236,0.7289858
45.5,4.36E-01,1.5217,0.7378224
45.6,4.49E-01,1.49179,0.7163962
45.7,4.22E-01,1.51765,0.7240523
45.8,4.20E-01,1.50787,0.7746074
45.9,4.16E-01,1.50857,0.7764158
46,4.24E-01,1.49049,0.7801639
46.1,4.26E-01,1.48888,0.7917559
46.2,4.23E-01,1.46386,0.7591559
46.3,4.37E-01,1.49746,0.7508907
46.4,4.35E-01,1.50618,0.7683161
46.5,4.37E-01,1.49079,0.7611147
46.6,4.41E-01,1.48828,0.7484444
46.7,4.30E-01,1.50621,0.7508213
46.8,4.49E-01,1.49316,0.7316175
46.9,4.55E-01,1.4898,0.757585
47,4.47E-01,1.489,0.7350522
47.1,4.36E-01,1.46977,0.7175848
47.2,4.28E-01,1.5007,0.741191
47.3,4.18E-01,1.49632,0.7371456
47.4,4.27E-01,1.47721,0.7408816
47.5,4.16E-01,1.48238,0.7406673
47.6,4.12E-01,1.48939,0.7543223
47.7,4.12E-01,1.4984,0.7384
47.8,4.32E-01,1.49532,0.7542318
47.9,4.45E-01,1.50684,0.7366433
48,4.69E-01,1.50043,0.7240536
48.1,4.48E-01,1.49791,0.7315595
48.2,4.49E-01,1.50235,0.7408987
48.3,4.45E-01,1.51126,0.7902239
48.4,4.45E-01,1.51496,0.7345979
48.5,4.35E-01,1.53146,0.807448
48.6,4.41E-01,1.51163,0.7518124
48.7,4.33E-01,1.53394,0.7728267
48.8,4.25E-01,1.52132,0.7958568
48.9,4.30E-01,1.52931,0.790432
49,4.20E-01,1.53635,0.8230042
49.1,4.08E-01,1.55659,0.8221268
49.2,3.91E-01,1.56985,0.8449537
49.3,4.06E-01,1.5864,0.8357496
49.4,3.98E-01,1.58873,0.863321
49.5,3.68E-01,1.57974,0.8937345
49.6,3.62E-01,1.64871,0.8881304
49.7,3.86E-01,1.63314,0.9077943
49.8,3.79E-01,1.58319,0.8495069
49.9,3.88E-01,1.58698,0.8512049
50,3.60E-01,1.57548,0.8671976
50.1,3.79E-01,1.55807,0.8130516
50.2,3.86E-01,1.54899,0.8019126
50.3,3.91E-01,1.54096,0.7764077
50.4,3.79E-01,1.55257,0.7779325
50.5,3.85E-01,1.53818,0.7854758
50.6,3.75E-01,1.58389,0.8325029
50.7,3.91E-01,1.60038,0.7976699
50.8,4.05E-01,1.61312,0.8212655
50.9,3.92E-01,1.58468,0.8352913
51,3.86E-01,1.58128,0.8518122
51.1,4.03E-01,1.59113,0.8007351
51.2,3.96E-01,1.60149,0.8108057
51.3,3.90E-01,1.58204,0.8106912
51.4,4.16E-01,1.63055,0.8085169
51.5,4.22E-01,1.65738,0.8286489
51.6,4.00E-01,1.62756,0.8851295
51.7,3.72E-01,1.5662,0.9012662
51.8,3.94E-01,1.60988,0.8832426
51.9,3.95E-01,1.63155,0.9765671
52,3.84E-01,1.65717,0.9972107
52.1,4.06E-01,1.65181,0.9198934
52.2,4.07E-01,1.63974,0.9226192
52.3,4.10E-01,1.67097,0.9526891
52.4,4.17E-01,1.64001,0.9075196
52.5,4.49E-01,1.64058,0.8985518
52.6,4.16E-01,1.67765,0.9243146
52.7,4.17E-01,1.65986,0.9834321
52.8,4.34E-01,1.6401,0.9067875
52.9,4.33E-01,1.586,0.8208897
53,4.49E-01,1.56098,0.8859439
53.1,4.44E-01,1.57856,0.8944782
53.2,4.48E-01,1.58464,0.8967875
53.3,4.47E-01,1.56208,0.9112063
53.4,4.37E-01,1.55274,0.8710518
53.5,4.33E-01,1.56007,0.8757132
53.6,4.29E-01,1.53165,0.8579329
53.7,4.33E-01,1.56416,0.848385
53.8,4.22E-01,1.58462,0.8958749
53.9,4.15E-01,1.56947,0.8871008
54,4.08E-01,1.57475,0.9377451
54.1,4.04E-01,1.5625,0.9345602
54.2,4.22E-01,1.55306,0.8475997
54.3,4.07E-01,1.59179,0.8699859
54.4,4.10E-01,1.57985,0.898783
54.5,4.01E-01,1.53425,0.8810201
54.6,4.10E-01,1.53764,0.8746343
54.7,4.11E-01,1.55013,0.871555
54.8,4.32E-01,1.54025,0.8571347
54.9,4.16E-01,1.5438,0.8388817
55,4.02E-01,1.54143,0.8573071
55.1,3.94E-01,1.56196,0.8401633
55.2,4.02E-01,1.54388,0.8316599
55.3,3.99E-01,1.55574,0.8428308
55.4,3.90E-01,1.56234,0.8263138
55.5,3.66E-01,1.57266,0.7715199
55.6,3.91E-01,1.56253,0.7309167
55.7,4.04E-01,1.57315,0.7850561
55.8,4.05E-01,1.60436,0.7575707
55.9,3.88E-01,1.60868,0.7572386
56,3.93E-01,1.64729,0.8233572
56.1,3.98E-01,1.65592,0.8241681
56.2,3.95E-01,1.68472,0.8314916
56.3,3.75E-01,1.65429,0.765304
56.4,3.71E-01,1.61349,0.6960479
56.5,4.00E-01,1.61883,0.6787038
56.6,3.85E-01,1.629,0.6851206
56.7,3.41E-01,1.65466,0.7815799
56.8,3.70E-01,1.64588,0.8147229
56.9,3.85E-01,1.58202,0.6577278
57,3.93E-01,1.58713,0.6654094
57.1,3.93E-01,1.58196,0.638901
57.2,3.88E-01,1.57327,0.6272236
57.3,3.79E-01,1.57391,0.6747898
57.4,3.94E-01,1.60088,0.7094687
57.5,3.88E-01,1.58329,0.7102646
57.6,3.76E-01,1.57908,0.7133394
57.7,3.74E-01,1.60778,0.7647768
57.8,4.10E-01,1.61098,0.7183384
57.9,3.80E-01,1.613,0.7166238
58,3.81E-01,1.50961,0.6323547
58.1,3.85E-01,1.48962,0.6052484
58.2,3.73E-01,1.51857,0.6055396
58.3,3.62E-01,1.49595,0.6419865
58.4,3.69E-01,1.53813,0.6800387
58.5,3.92E-01,1.52747,0.6854195
58.6,3.73E-01,1.61992,0.7868422
58.7,3.68E-01,1.61312,0.8122121
58.8,3.75E-01,1.64351,0.8113252
58.9,3.73E-01,1.63801,0.7952568
59,3.73E-01,1.64627,0.8966696
59.1,3.69E-01,1.64205,0.9216112
59.2,3.75E-01,1.64011,0.8862846
59.3,3.75E-01,1.6543,0.8724561
59.4,3.78E-01,1.61904,0.8391179
59.5,3.81E-01,1.62669,0.8316317
59.6,3.73E-01,1.63893,0.7975128
59.7,3.66E-01,1.61705,0.7625836
59.8,3.52E-01,1.60577,0.8178701
59.9,3.67E-01,1.63429,0.8590004
