Time (ns),Native contact,Rg (nm),RMSD (nm)
29.4,5.56E-01,1.20542,0.6538056
29.5,5.61E-01,1.20711,0.6282406
29.6,5.90E-01,1.208,0.6316314
29.7,5.86E-01,1.20403,0.6503788
29.8,5.82E-01,1.20706,0.6480025
29.9,5.67E-01,1.22019,0.6409184
30,5.83E-01,1.2108,0.6641052
30.1,5.73E-01,1.20713,0.6354127
30.2,5.84E-01,1.21964,0.636223
30.3,5.82E-01,1.21677,0.6271743
30.4,5.88E-01,1.20567,0.620919
30.5,5.91E-01,1.19281,0.6239807
30.6,5.91E-01,1.2015,0.6090592
30.7,5.64E-01,1.21915,0.6221989
30.8,5.69E-01,1.23125,0.6161039
30.9,5.62E-01,1.22016,0.6504162
31,5.91E-01,1.20308,0.5729125
31.1,5.84E-01,1.21031,0.5226029
31.2,5.86E-01,1.23875,0.5401323
31.3,5.95E-01,1.22463,0.5730247
31.4,6.12E-01,1.24001,0.4880095
31.5,5.64E-01,1.24443,0.524734
31.6,6.05E-01,1.24592,0.5491791
31.7,6.09E-01,1.2152,0.5270499
31.8,5.75E-01,1.23559,0.5572261
31.9,5.92E-01,1.24758,0.5454269
32,5.93E-01,1.23038,0.5730748
32.1,5.85E-01,1.26008,0.5368676
32.2,5.81E-01,1.25956,0.5314267
32.3,5.90E-01,1.25504,0.5163745
32.4,6.04E-01,1.22826,0.511395
32.5,5.92E-01,1.25144,0.4768632
32.6,6.09E-01,1.24485,0.5158465
32.7,5.97E-01,1.25775,0.5753093
32.8,5.89E-01,1.27037,0.5637665
32.9,5.78E-01,1.23353,0.5599459
33,5.79E-01,1.2211,0.5446931
33.1,5.63E-01,1.22949,0.5728438
33.2,5.61E-01,1.24419,0.5664801
33.3,6.03E-01,1.22783,0.5328979
33.4,6.09E-01,1.23558,0.5703022
33.5,5.83E-01,1.25075,0.5438432
33.6,5.97E-01,1.25556,0.5450575
33.7,5.73E-01,1.26463,0.576963
33.8,5.68E-01,1.27396,0.555712
33.9,5.81E-01,1.27036,0.5280511
34,5.84E-01,1.26856,0.5371259
34.1,5.85E-01,1.27505,0.5361405
34.2,6.19E-01,1.27748,0.5243112
34.3,5.97E-01,1.26503,0.5279433
34.4,5.84E-01,1.26841,0.505858
34.5,6.06E-01,1.24639,0.4438145
