Time (ns),Native contact,Rg (nm),RMSD (nm)
30.8,3.73E-01,1.35637,1.1186883
30.9,3.42E-01,1.35828,1.0748444
31,3.37E-01,1.3271,1.049338
31.1,3.69E-01,1.28203,1.0778445
31.2,3.54E-01,1.32094,1.1126996
31.3,3.78E-01,1.29413,1.1730949
31.4,3.48E-01,1.32262,1.1851488
31.5,3.52E-01,1.34605,1.1923563
31.6,3.90E-01,1.33183,1.12466
31.7,3.88E-01,1.35169,1.1081108
31.8,3.85E-01,1.40684,1.0628415
31.9,3.54E-01,1.35513,0.9740553
32,3.64E-01,1.42777,1.1399747
32.1,3.48E-01,1.44074,1.0564178
32.2,3.56E-01,1.48798,0.9594979
32.3,3.50E-01,1.49064,0.9224656
32.4,3.44E-01,1.4613,0.9484313
32.5,3.57E-01,1.42576,0.868034
32.6,3.45E-01,1.49921,0.9676078
32.7,3.54E-01,1.60883,1.2121022
32.8,3.38E-01,1.66207,1.2290641
32.9,3.42E-01,1.65591,1.2630999
33,3.47E-01,1.71429,1.2204512
33.1,3.48E-01,1.75126,1.38869
33.2,3.36E-01,1.72513,1.3019146
33.3,3.21E-01,1.75836,1.3012884
33.4,3.24E-01,1.57897,1.1412978
33.5,3.06E-01,1.61572,1.0894753
33.6,3.33E-01,1.55713,1.1671766
33.7,3.10E-01,1.57737,1.3248806
33.8,3.11E-01,1.58359,1.3741375
33.9,3.07E-01,1.58797,1.3237835
34,3.31E-01,1.58688,1.3003774
34.1,3.29E-01,1.60851,1.3894829
34.2,3.34E-01,1.64531,1.4541737
34.3,3.23E-01,1.64805,1.4237344
34.4,3.46E-01,1.68041,1.5416092
34.5,3.02E-01,1.75736,1.4858392
34.6,2.75E-01,1.5982,1.3631467
34.7,3.48E-01,1.5889,1.3768886
34.8,3.28E-01,1.50834,1.2920488
34.9,3.35E-01,1.5425,1.2742547
35,3.34E-01,1.5172,1.3271036
35.1,2.92E-01,1.50012,1.2309684
35.2,3.41E-01,1.41837,1.0854887
35.3,3.29E-01,1.41165,0.9635502
35.4,3.63E-01,1.38091,1.0741313
35.5,3.19E-01,1.35962,0.960233
35.6,3.48E-01,1.34571,0.9823025
35.7,3.49E-01,1.34135,0.9639091
35.8,3.16E-01,1.38656,1.0090039
35.9,3.57E-01,1.33943,1.0181154
36,3.37E-01,1.37645,1.022386
36.1,3.20E-01,1.35729,1.0108429
36.2,3.25E-01,1.3858,1.0164336
36.3,3.13E-01,1.379,0.9604246
36.4,2.91E-01,1.3837,0.9799479
36.5,3.22E-01,1.34658,1.0206681
36.6,3.53E-01,1.33942,0.8631121
36.7,3.47E-01,1.34554,0.7898855
36.8,3.29E-01,1.3598,0.827036
36.9,3.76E-01,1.34629,0.8689456
37,3.54E-01,1.33486,0.7891658
37.1,3.41E-01,1.32522,0.7893244
37.2,3.61E-01,1.34715,0.7681053
37.3,3.26E-01,1.3527,0.7479449
37.4,3.33E-01,1.35648,0.7890598
37.5,3.06E-01,1.39003,0.729525
37.6,3.33E-01,1.42753,0.7033924
37.7,3.07E-01,1.48184,0.8599021
37.8,3.10E-01,1.46343,0.996673
37.9,3.27E-01,1.46241,0.863628
38,3.27E-01,1.43524,0.7922772
38.1,3.35E-01,1.46239,0.9242602
38.2,3.24E-01,1.48532,0.9036723
38.3,3.27E-01,1.40343,0.8197693
38.4,3.28E-01,1.40529,0.7871087
38.5,3.16E-01,1.39058,0.8300814
38.6,3.26E-01,1.40058,0.7625865
38.7,3.49E-01,1.39994,0.7998329
38.8,3.45E-01,1.34527,0.6981069
38.9,3.72E-01,1.43756,0.7719956
39,3.43E-01,1.40162,0.7724056
39.1,3.27E-01,1.36826,0.7795868
39.2,2.94E-01,1.32631,0.7425324
39.3,3.46E-01,1.36827,0.8104024
39.4,3.42E-01,1.40336,0.801258
39.5,3.60E-01,1.37332,0.7893512
39.6,3.35E-01,1.42577,0.7746865
39.7,3.10E-01,1.35508,0.7457391
39.8,3.15E-01,1.38781,0.776514
39.9,3.40E-01,1.3438,0.7118886
40,3.72E-01,1.32541,0.6541023
40.1,3.36E-01,1.30324,0.7009192
40.2,3.30E-01,1.291,0.7327839
40.3,3.22E-01,1.36281,0.7636024
40.4,3.15E-01,1.37603,0.7685013
40.5,2.80E-01,1.35308,0.7470997
40.6,2.96E-01,1.33466,0.7315956
40.7,2.73E-01,1.33515,0.7313651
40.8,2.96E-01,1.30044,0.7217706
40.9,2.95E-01,1.26712,0.746338
41,2.68E-01,1.28362,0.724499
41.1,2.98E-01,1.28221,0.7203551
41.2,3.13E-01,1.29717,0.6519204
41.3,2.82E-01,1.33444,0.6415897
41.4,3.00E-01,1.32043,0.6367844
41.5,2.98E-01,1.33672,0.717983
41.6,2.83E-01,1.28668,0.6395351
41.7,2.84E-01,1.29399,0.6778542
41.8,2.87E-01,1.403,0.6846359
41.9,2.88E-01,1.34036,0.6493821
42,2.90E-01,1.38857,0.6782848
42.1,2.57E-01,1.44178,0.6975582
42.2,2.60E-01,1.43018,0.7167599
42.3,2.74E-01,1.45739,0.7270514
42.4,2.93E-01,1.432,0.7675948
42.5,2.94E-01,1.42481,0.7601711
42.6,3.04E-01,1.4687,0.7446883
42.7,3.25E-01,1.39882,0.6665108
42.8,3.17E-01,1.41523,0.7287124
42.9,2.93E-01,1.34891,0.7805281
43,2.93E-01,1.409,0.7159368
43.1,3.16E-01,1.43416,0.7314189
43.2,3.40E-01,1.40772,0.7040933
43.3,3.24E-01,1.44203,0.672211
43.4,3.26E-01,1.41629,0.7219878
43.5,3.20E-01,1.47704,0.6365339
43.6,2.77E-01,1.41665,0.6573392
43.7,2.85E-01,1.41794,0.6931183
43.8,2.98E-01,1.40412,0.7251557
43.9,3.06E-01,1.40088,0.641391
44,3.47E-01,1.36951,0.6047074
44.1,3.18E-01,1.3918,0.681779
44.2,3.01E-01,1.38129,0.7208099
44.3,2.84E-01,1.39804,0.6834257
44.4,3.06E-01,1.32549,0.7358703
44.5,3.28E-01,1.31326,0.7138075
44.6,3.20E-01,1.35616,0.7351494
44.7,3.04E-01,1.36826,0.7466655
44.8,3.11E-01,1.34615,0.7640646
44.9,3.49E-01,1.2876,0.7520552
45,3.46E-01,1.31138,0.7142902
45.1,3.40E-01,1.31715,0.7744014
45.2,3.28E-01,1.31864,0.7665232
45.3,3.71E-01,1.28965,0.7543941
45.4,3.46E-01,1.33997,0.7665012
45.5,3.91E-01,1.2815,0.7486396
45.6,3.47E-01,1.31693,0.7507005
45.7,3.16E-01,1.29122,0.7872359
45.8,3.27E-01,1.31087,0.742655
45.9,3.16E-01,1.32722,0.7556567
46,3.15E-01,1.33785,0.7511002
46.1,3.37E-01,1.31505,0.7588293
46.2,3.42E-01,1.2989,0.7609164
46.3,3.40E-01,1.32785,0.7734749
46.4,3.25E-01,1.33283,0.7921001
46.5,3.14E-01,1.30444,0.8098091
46.6,3.23E-01,1.31116,0.7321509
46.7,3.32E-01,1.32249,0.7539507
46.8,3.46E-01,1.29521,0.7986778
46.9,3.30E-01,1.28863,0.7170464
47,3.08E-01,1.2948,0.7714146
47.1,3.23E-01,1.29834,0.7444035
47.2,3.34E-01,1.26871,0.7897121
47.3,3.09E-01,1.30108,0.7615511
47.4,3.26E-01,1.33435,0.7451919
47.5,2.68E-01,1.34215,0.6988112
47.6,3.18E-01,1.35587,0.6712266
47.7,3.23E-01,1.34848,0.6665825
47.8,3.18E-01,1.34405,0.6307756
47.9,3.50E-01,1.32128,0.6460113
48,3.42E-01,1.29148,0.6417325
48.1,3.35E-01,1.33368,0.7007289
48.2,2.99E-01,1.32746,0.6982257
48.3,3.14E-01,1.30912,0.6635126
48.4,3.07E-01,1.31932,0.661174
48.5,3.35E-01,1.33801,0.628603
48.6,3.03E-01,1.29615,0.6492276
48.7,3.24E-01,1.3172,0.6223315
48.8,3.12E-01,1.26581,0.6842726
48.9,3.01E-01,1.30556,0.6787639
49,3.12E-01,1.30326,0.6810536
49.1,3.20E-01,1.30634,0.654677
49.2,3.16E-01,1.2713,0.6872594
49.3,3.04E-01,1.28769,0.6764466
49.4,3.02E-01,1.30548,0.673504
49.5,2.91E-01,1.3027,0.6555818
49.6,2.95E-01,1.30146,0.6660993
49.7,2.87E-01,1.28455,0.6606395
49.8,2.96E-01,1.28388,0.7035567
49.9,3.18E-01,1.29316,0.6893975
50,3.01E-01,1.28494,0.7034747
50.1,3.34E-01,1.31005,0.6927065
50.2,3.28E-01,1.2872,0.7107385
50.3,3.08E-01,1.2953,0.6952904
50.4,3.22E-01,1.28146,0.6983692
50.5,3.10E-01,1.2929,0.6755415
50.6,3.11E-01,1.3009,0.7036986
50.7,2.90E-01,1.32596,0.6637807
50.8,3.09E-01,1.33349,0.7189316
50.9,3.10E-01,1.32049,0.7259238
51,3.25E-01,1.2843,0.7364419
51.1,3.10E-01,1.28384,0.7566285
51.2,3.15E-01,1.25613,0.7346056
51.3,3.02E-01,1.28,0.7528325
51.4,3.16E-01,1.26038,0.7044997
51.5,2.94E-01,1.2742,0.7032115
51.6,3.01E-01,1.25737,0.7256064
51.7,3.31E-01,1.24079,0.6941646
51.8,3.11E-01,1.24212,0.7078795
51.9,3.07E-01,1.28563,0.7286268
52,3.03E-01,1.27871,0.7315568
52.1,2.98E-01,1.31312,0.6981047
52.2,3.05E-01,1.29806,0.6956729
52.3,3.03E-01,1.3443,0.6213989
52.4,3.19E-01,1.29167,0.6999214
52.5,2.94E-01,1.29486,0.7168894
52.6,3.11E-01,1.32488,0.6691195
52.7,3.02E-01,1.3107,0.6244357
52.8,3.18E-01,1.36183,0.6453546
52.9,3.37E-01,1.33264,0.6905965
53,3.23E-01,1.34193,0.6669744
53.1,3.03E-01,1.31152,0.6564829
53.2,2.93E-01,1.34123,0.6437292
53.3,3.25E-01,1.33825,0.5843468
53.4,3.12E-01,1.3038,0.6518262
53.5,3.15E-01,1.30822,0.6912025
53.6,3.31E-01,1.32707,0.6004791
53.7,3.04E-01,1.32765,0.6168128
53.8,3.06E-01,1.34067,0.5996711
53.9,2.55E-01,1.3916,0.7137123
54,3.00E-01,1.36364,0.6220391
54.1,2.82E-01,1.34455,0.654029
54.2,2.63E-01,1.34457,0.6646261
54.3,2.65E-01,1.32661,0.6635845
54.4,2.76E-01,1.34948,0.6692804
54.5,2.57E-01,1.33982,0.7224021
54.6,2.70E-01,1.36031,0.6732456
54.7,2.78E-01,1.34201,0.7367839
54.8,2.81E-01,1.38589,0.7425274
54.9,2.75E-01,1.38502,0.6968703
55,2.75E-01,1.38823,0.6833226
55.1,2.57E-01,1.44054,0.7969275
55.2,2.51E-01,1.39648,0.7721304
55.3,2.78E-01,1.33756,0.759453
55.4,2.65E-01,1.32915,0.7385803
55.5,2.68E-01,1.36356,0.6820158
55.6,2.70E-01,1.34365,0.7324384
55.7,2.76E-01,1.33523,0.7102706
55.8,2.75E-01,1.33792,0.7352583
55.9,2.40E-01,1.34473,0.7143751
56,2.74E-01,1.31651,0.7691821
56.1,2.72E-01,1.29459,0.7487719
56.2,2.95E-01,1.33058,0.6667321
56.3,2.94E-01,1.34945,0.7058102
56.4,2.64E-01,1.34478,0.698181
56.5,2.72E-01,1.35905,0.6980035
56.6,2.83E-01,1.33065,0.7276365
56.7,3.05E-01,1.30808,0.6740045
56.8,3.36E-01,1.2832,0.6838157
56.9,2.89E-01,1.31738,0.6622294
57,2.65E-01,1.3385,0.6641395
57.1,2.86E-01,1.30067,0.6978272
57.2,2.81E-01,1.321,0.6811731
57.3,2.83E-01,1.32869,0.7212853
57.4,2.83E-01,1.34413,0.7474215
57.5,2.73E-01,1.31493,0.6909379
57.6,2.93E-01,1.28466,0.6996679
57.7,2.80E-01,1.33655,0.7360121
57.8,2.90E-01,1.33074,0.7935302
57.9,2.93E-01,1.31513,0.7288696
58,2.88E-01,1.32263,0.7014377
58.1,2.91E-01,1.28999,0.6819675
58.2,3.07E-01,1.30423,0.7576991
58.3,2.98E-01,1.27055,0.7130182
58.4,3.10E-01,1.27142,0.7230641
58.5,3.04E-01,1.29865,0.6435697
58.6,3.19E-01,1.30537,0.6818482
58.7,2.88E-01,1.30259,0.7071036
58.8,2.75E-01,1.28837,0.6760903
58.9,2.99E-01,1.27091,0.7089642
59,2.75E-01,1.33222,0.7418558
59.1,2.84E-01,1.32587,0.7259229
59.2,2.62E-01,1.31825,0.7212673
59.3,3.08E-01,1.34697,0.6604778
59.4,2.92E-01,1.32066,0.719694
59.5,3.00E-01,1.33445,0.7263542
59.6,3.15E-01,1.33794,0.6713277
59.7,3.36E-01,1.3291,0.6756713
59.8,2.73E-01,1.31855,0.7731293
59.9,3.12E-01,1.28609,0.8545704
60,3.38E-01,1.29015,0.8184078
