Time (ns),Native contact,Rg (nm),RMSD (nm)
27.5,5.52E-01,1.40146,0.5643733
27.6,5.29E-01,1.4015,0.5720159
27.7,5.27E-01,1.38593,0.5008166
27.8,5.35E-01,1.39074,0.4829609
27.9,5.30E-01,1.37284,0.5221685
28,5.71E-01,1.35385,0.5353494
28.1,5.45E-01,1.37615,0.54763
28.2,5.45E-01,1.36816,0.5123559
28.3,5.76E-01,1.35968,0.5181518
28.4,5.54E-01,1.36738,0.5429936
28.5,5.57E-01,1.36784,0.518474
28.6,5.68E-01,1.35339,0.5148543
28.7,5.65E-01,1.36351,0.4837533
28.8,5.72E-01,1.34942,0.507426
28.9,5.95E-01,1.36799,0.4930507
29,5.39E-01,1.35834,0.4998809
29.1,5.41E-01,1.38521,0.5081105
29.2,5.41E-01,1.35481,0.4773059
29.3,5.47E-01,1.3553,0.5183149
29.4,5.77E-01,1.34552,0.4889244
29.5,5.35E-01,1.36058,0.5247502
29.6,5.38E-01,1.3716,0.524238
29.7,5.44E-01,1.37281,0.5322983
29.8,5.17E-01,1.37075,0.5208092
29.9,5.25E-01,1.37313,0.4994225
30,4.92E-01,1.37591,0.5289426
30.1,5.03E-01,1.38759,0.5550628
30.2,5.08E-01,1.37204,0.5206957
30.3,5.12E-01,1.36137,0.5136437
30.4,4.91E-01,1.39076,0.5539393
30.5,5.31E-01,1.37535,0.5391802
30.6,5.61E-01,1.36107,0.5345219
30.7,5.26E-01,1.37609,0.5561436
30.8,5.49E-01,1.38234,0.5205702
30.9,5.22E-01,1.38681,0.5588165
31,5.25E-01,1.37052,0.5561741
31.1,5.10E-01,1.37352,0.5639142
31.2,5.18E-01,1.37114,0.5051162
31.3,5.37E-01,1.36528,0.5020044
31.4,5.54E-01,1.35481,0.4624496
31.5,5.38E-01,1.37397,0.5177025
31.6,5.13E-01,1.39958,0.5314295
31.7,5.07E-01,1.37889,0.5245732
31.8,5.17E-01,1.36541,0.5356951
31.9,5.36E-01,1.37131,0.5392493
32,5.19E-01,1.36935,0.5320402
32.1,5.42E-01,1.37613,0.546596
32.2,5.15E-01,1.35491,0.5388512
32.3,5.16E-01,1.37728,0.5621089
32.4,5.03E-01,1.39143,0.5823997
32.5,5.46E-01,1.37874,0.5549817
32.6,5.78E-01,1.38086,0.5444198
32.7,5.21E-01,1.3992,0.5473227
32.8,5.38E-01,1.38119,0.5221695
32.9,5.31E-01,1.36032,0.5158179
33,5.00E-01,1.37149,0.540599
33.1,5.12E-01,1.36935,0.527574
33.2,5.01E-01,1.37617,0.554186
33.3,4.88E-01,1.38532,0.5749693
33.4,4.97E-01,1.41672,0.5857257
33.5,4.80E-01,1.40519,0.5723446
33.6,5.04E-01,1.38605,0.5288894
33.7,5.20E-01,1.39196,0.5333391
33.8,5.18E-01,1.37129,0.5607353
33.9,5.34E-01,1.39011,0.5191513
34,5.22E-01,1.40472,0.6015108
34.1,4.96E-01,1.41419,0.6366922
34.2,5.25E-01,1.42845,0.6126712
34.3,5.19E-01,1.4322,0.6248736
34.4,5.19E-01,1.40151,0.5471231
34.5,5.42E-01,1.41276,0.5606228
34.6,5.51E-01,1.42028,0.5562719
34.7,5.11E-01,1.42882,0.5380296
34.8,5.11E-01,1.43228,0.5751625
34.9,5.07E-01,1.44701,0.5922379
35,5.28E-01,1.4115,0.54586
35.1,5.14E-01,1.44975,0.6233299
35.2,5.60E-01,1.42306,0.5344702
35.3,5.63E-01,1.41903,0.5579123
35.4,5.55E-01,1.43086,0.5874158
35.5,5.56E-01,1.43603,0.5970664
35.6,5.57E-01,1.4374,0.5719981
35.7,5.44E-01,1.43132,0.5442888
35.8,5.24E-01,1.39272,0.5569073
35.9,4.88E-01,1.43126,0.5858845
36,5.07E-01,1.4474,0.6058379
36.1,4.69E-01,1.44591,0.6218283
36.2,5.01E-01,1.44113,0.5921704
36.3,5.09E-01,1.44129,0.586939
36.4,4.95E-01,1.46576,0.6461488
36.5,5.13E-01,1.47048,0.6001596
36.6,4.88E-01,1.45612,0.5925445
36.7,5.10E-01,1.44336,0.610621
36.8,4.97E-01,1.45844,0.6354664
36.9,5.35E-01,1.44039,0.6324346
37,5.07E-01,1.42433,0.6430683
37.1,5.33E-01,1.41636,0.5868009
37.2,5.41E-01,1.43221,0.5883234
37.3,5.39E-01,1.41744,0.5981398
37.4,5.64E-01,1.40099,0.6304283
37.5,5.38E-01,1.38495,0.6452383
37.6,5.56E-01,1.40645,0.6295791
37.7,5.19E-01,1.43686,0.6860939
37.8,5.41E-01,1.39587,0.6717042
37.9,5.42E-01,1.43424,0.7024962
38,5.40E-01,1.43118,0.7357851
38.1,5.34E-01,1.45323,0.7517312
38.2,5.38E-01,1.41743,0.6747113
38.3,5.37E-01,1.44688,0.697557
38.4,5.34E-01,1.42453,0.66054
38.5,5.73E-01,1.40295,0.6154025
38.6,5.38E-01,1.40931,0.6414278
38.7,5.39E-01,1.42808,0.660563
38.8,5.55E-01,1.41324,0.6362183
38.9,5.15E-01,1.42899,0.6145246
39,5.33E-01,1.4105,0.6672556
39.1,5.19E-01,1.42985,0.5909445
39.2,5.58E-01,1.4122,0.6257232
39.3,5.86E-01,1.40796,0.610869
39.4,6.04E-01,1.39172,0.5604833
39.5,5.71E-01,1.40669,0.6204469
39.6,5.51E-01,1.42385,0.6452397
39.7,5.68E-01,1.42948,0.6963508
39.8,5.48E-01,1.42585,0.6700436
39.9,5.31E-01,1.44852,0.7028433
40,5.30E-01,1.43664,0.6703095
40.1,5.84E-01,1.4169,0.6100596
40.2,5.66E-01,1.39078,0.5854191
40.3,5.47E-01,1.39003,0.618968
40.4,5.50E-01,1.44054,0.6458236
40.5,5.43E-01,1.42083,0.636223
40.6,5.38E-01,1.40637,0.5979053
40.7,5.55E-01,1.41113,0.6211705
40.8,5.09E-01,1.42643,0.6392705
40.9,4.96E-01,1.4573,0.6417911
41,5.28E-01,1.40667,0.6079607
41.1,5.25E-01,1.40165,0.6019509
41.2,5.30E-01,1.43151,0.6535676
41.3,5.04E-01,1.43501,0.636421
41.4,5.15E-01,1.43993,0.6424057
41.5,5.16E-01,1.43782,0.6519499
41.6,5.37E-01,1.41114,0.6095603
41.7,5.35E-01,1.40861,0.6034732
41.8,5.34E-01,1.37155,0.6091481
41.9,5.35E-01,1.35372,0.5919864
42,5.19E-01,1.36301,0.6682444
42.1,5.35E-01,1.3752,0.6193701
42.2,5.47E-01,1.35814,0.5993565
42.3,5.52E-01,1.37351,0.6487321
42.4,5.93E-01,1.35513,0.6065907
42.5,5.40E-01,1.36792,0.6102932
42.6,5.31E-01,1.37064,0.6487139
42.7,5.49E-01,1.35453,0.605357
42.8,5.45E-01,1.36666,0.5429106
42.9,5.56E-01,1.37838,0.5840057
43,5.43E-01,1.38802,0.5934045
43.1,5.36E-01,1.38823,0.5919494
43.2,5.60E-01,1.39934,0.6188855
43.3,5.36E-01,1.34208,0.6039245
43.4,4.97E-01,1.37639,0.6199504
43.5,4.99E-01,1.35695,0.5924129
43.6,5.03E-01,1.33735,0.6135502
43.7,5.60E-01,1.32697,0.5971924
43.8,5.38E-01,1.34206,0.6246071
43.9,5.71E-01,1.32812,0.6558694
44,5.39E-01,1.33162,0.6585639
44.1,5.41E-01,1.365,0.6478711
44.2,5.47E-01,1.36186,0.6121843
44.3,5.77E-01,1.34952,0.6327565
44.4,5.70E-01,1.3775,0.6011016
44.5,5.33E-01,1.36912,0.5870574
44.6,5.39E-01,1.37161,0.6061692
44.7,5.33E-01,1.35765,0.6363908
44.8,5.58E-01,1.37449,0.6506749
44.9,5.41E-01,1.36529,0.6616492
45,5.61E-01,1.35305,0.6709354
45.1,5.60E-01,1.348,0.6377994
45.2,5.65E-01,1.3455,0.6265453
45.3,5.62E-01,1.35846,0.6305767
45.4,5.68E-01,1.34903,0.6371979
45.5,5.80E-01,1.34676,0.6245522
45.6,5.79E-01,1.33909,0.6090198
45.7,5.25E-01,1.35518,0.6418808
45.8,5.75E-01,1.35479,0.6457475
45.9,5.17E-01,1.34309,0.6635294
46,5.41E-01,1.36524,0.6297937
46.1,5.74E-01,1.32898,0.628526
46.2,5.76E-01,1.32538,0.6405692
46.3,5.72E-01,1.32825,0.6294104
46.4,5.50E-01,1.33957,0.6033072
46.5,5.76E-01,1.349,0.5960434
46.6,5.63E-01,1.32944,0.579525
