Time (ns),Native contact,Rg (nm),RMSD (nm)
49.7,1.30E-01,1.33872,1.2143477
49.8,1.33E-01,1.30584,1.2154089
49.9,1.33E-01,1.30094,1.2092099
50,1.25E-01,1.34124,1.2520252
50.1,1.26E-01,1.36691,1.3123996
50.2,1.19E-01,1.36811,1.2829046
50.3,1.10E-01,1.37233,1.2651086
50.4,1.10E-01,1.34732,1.3038937
50.5,1.33E-01,1.3282,1.2585797
50.6,1.20E-01,1.33488,1.3147004
50.7,1.30E-01,1.31672,1.2420721
50.8,1.08E-01,1.26841,1.1842302
50.9,9.91E-02,1.25098,1.1945869
51,1.16E-01,1.25567,1.2165252
51.1,9.69E-02,1.20701,1.1250197
51.2,9.88E-02,1.20437,1.1200994
51.3,1.13E-01,1.2186,1.1656219
51.4,9.35E-02,1.28721,1.1893826
51.5,9.56E-02,1.40161,1.2811846
51.6,9.48E-02,1.33169,1.2413255
51.7,9.12E-02,1.36219,1.2590091
51.8,8.80E-02,1.32432,1.2751962
51.9,1.28E-01,1.34593,1.3473396
52,1.21E-01,1.31322,1.3095751
52.1,1.09E-01,1.31424,1.2917103
52.2,9.23E-02,1.3126,1.3195758
52.3,9.64E-02,1.34626,1.3388042
52.4,1.04E-01,1.31647,1.3563707
52.5,1.09E-01,1.26311,1.3227987
52.6,1.01E-01,1.40821,1.3320922
52.7,1.06E-01,1.47538,1.4900659
52.8,1.07E-01,1.35548,1.3707336
52.9,8.78E-02,1.43246,1.354021
53,1.07E-01,1.38183,1.3453618
53.1,1.10E-01,1.34057,1.2597332
53.2,8.37E-02,1.36376,1.2689424
53.3,7.07E-02,1.40929,1.2570156
53.4,8.23E-02,1.3291,1.2631757
53.5,8.27E-02,1.30899,1.1930373
53.6,8.71E-02,1.28769,1.2546238
53.7,1.19E-01,1.26957,1.2567751
53.8,8.13E-02,1.25728,1.1625018
53.9,7.34E-02,1.24071,1.2178365
54,7.88E-02,1.24095,1.1636143
54.1,6.74E-02,1.2655,1.260112
54.2,8.04E-02,1.24499,1.1895269
54.3,8.78E-02,1.3137,1.2892399
54.4,1.19E-01,1.2641,1.2405714
54.5,1.06E-01,1.20143,1.1706496
54.6,8.89E-02,1.19888,1.1741863
54.7,1.09E-01,1.22563,1.1540534
54.8,1.15E-01,1.25384,1.2109685
54.9,1.19E-01,1.24469,1.198917
55,1.26E-01,1.26585,1.1907526
55.1,1.54E-01,1.24806,1.1822708
55.2,1.44E-01,1.20852,1.1444418
55.3,1.29E-01,1.24396,1.1749083
55.4,1.33E-01,1.25292,1.1452574
55.5,1.30E-01,1.29289,1.2296265
55.6,1.45E-01,1.27083,1.1899198
55.7,1.30E-01,1.28516,1.2086071
55.8,1.54E-01,1.31814,1.3113908
55.9,1.44E-01,1.34469,1.3528615
56,1.22E-01,1.32697,1.3323002
56.1,1.18E-01,1.35741,1.3678516
56.2,1.22E-01,1.37949,1.4260375
56.3,1.19E-01,1.34488,1.3990333
56.4,1.30E-01,1.22565,1.3182704
56.5,1.32E-01,1.21818,1.2788868
56.6,1.23E-01,1.19649,1.3021954
56.7,1.46E-01,1.17965,1.3698468
56.8,1.33E-01,1.18973,1.3739495
56.9,1.16E-01,1.19813,1.3358009
57,1.24E-01,1.22645,1.3949248
57.1,1.19E-01,1.29731,1.4175221
57.2,1.12E-01,1.23827,1.4225109
57.3,1.17E-01,1.24947,1.3845701
57.4,8.92E-02,1.29937,1.4198757
57.5,9.62E-02,1.31957,1.5278862
57.6,9.94E-02,1.35283,1.4904186
57.7,1.09E-01,1.3577,1.4498634
57.8,1.08E-01,1.44779,1.5988727
57.9,1.16E-01,1.40938,1.5894402
58,1.14E-01,1.36493,1.5463892
58.1,1.26E-01,1.3285,1.5052204
58.2,1.32E-01,1.2839,1.4633757
58.3,1.26E-01,1.29453,1.5188839
58.4,1.06E-01,1.28964,1.5280844
58.5,1.15E-01,1.31387,1.5266515
58.6,1.17E-01,1.34952,1.5383779
